artist,artist_ko,summary,image_url
alma woodsey thomas,앨마 우드시 토마스,"Alma Woodsey Thomas (1891 년 9 월 22 일-1978 년 2 월 24 일)는 워싱턴 D.C.에서 살고 일한 아프리카 계 미국인 예술가이자 교사였으며 현재 20 세기의 주요 미국 화가로 인정 받고 있습니다.토마스는 워싱턴의 쇼 중학교에서 35 년간의 경력 교육 예술에서 은퇴 한 후 그녀가 만든 화려한 추상 그림으로 가장 잘 알려져 있습니다.
워싱턴 컬러 스쿨 미술 운동의 일원으로 여겨지지만 일부 사람들에 의해 표현 주의자로 분류 된 토마스 (Thomas)는 컬럼비아 (University of) 대학 (당시 광부 정상 학교)에서 교수 학위를 받았습니다.그녀는 Howard University의 미술 부서를 처음 졸업했으며 그녀의 삶을 통해 그 대학과의 관계를 유지했습니다.그녀는 시간의 분리와 편견에도 불구하고 아프리카 계 미국인 여성 예술가로서 성공을 거두었습니다.
토마스의 명성은 그녀의 죽음 이후에도 계속 성장했습니다.그녀의 그림은 주목할만한 박물관과 컬렉션에 전시되어 있으며 여러 책과 솔로 박물관 전시회의 주제였습니다.2021 년에 박물관은 Thomas의 그림 Alma 's Flower Garden을 개인 거래에서 280 만 달러에 팔았습니다.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Portrait_of_a_Lady_%28Alma_Thomas%29.jpg/220px-Portrait_of_a_Lady_%28Alma_Thomas%29.jpg
andy warhol,앤디 워홀,"Andy Warhol (; Andrew Warhola Jr. 출생; 1928 년 8 월 6 일 - 1987 년 2 월 22 일)는 미국 시각 예술가, 영화 감독 및 프로듀서였습니다.팝 아트 운동의 주요 인물 인 워홀은 20 세기 후반의 가장 중요한 미국 예술가 중 한 명으로 여겨집니다.그의 작품은 1960 년대에 번성 한 예술적 표현, 광고 및 유명인 문화 사이의 관계를 탐구하고 그림, 실크 스크린, 사진, 영화 및 조각을 포함한 다양한 미디어에 걸쳐 있습니다.그의 가장 잘 알려진 작품 중 일부는 Silkscreen Paintings Campbell 's Soup Cans (1962) 및 Marilyn Diptych (1962), 실험 영화 제국 (1964) 및 첼시 걸스 (1966), 폭발 플라스틱 불가피한 (1966)로 알려진 멀티미디어 사건이 있습니다.–67).
피츠버그에서 태어나고 자란 워홀은 처음에 1950 년대에 상업 일러스트 레이터로 성공적인 경력을 쌓았습니다.아트 갤러리에서 작품을 전시 한 후, 그는 1960 년대에 영향력 있고 논쟁의 여지가있는 예술가로 인정 받기 시작했습니다.그의 뉴욕 스튜디오 인 The Factory는 유명한 지식인, 드래그 퀸즈, 극작가, 보헤미안 스트리트 사람들, 할리우드 유명 인사 및 부유 한 후원자를 모은 유명한 모임 장소가되었습니다.그는 Warhol Superstars로 알려진 성격의 모음을 주연으로 한 여러 지하 영화를 감독하고 제작했으며 널리 사용되는 표현 ""15 분의 명성""을 고무시키는 것으로 유명합니다.Warhol은 실험용 록 밴드 The Velvet Underground를 관리하고 제작했습니다.그는 또한 인터뷰를 설립하고 앤디 워홀 (Andy Warhol)의 철학과 팝 즘 (Warhol Sixties)의 철학을 포함하여 수많은 책을 저술했습니다.
1968 년 6 월, 워홀은 급진적 인 페미니스트 발레리 솔라나스 (Valerie Solanas)에 의해 거의 살해당했습니다.담낭 수술 후 Warhol은 1987 년 2 월 뉴욕에서 58 세의 나이에 심장 부정맥으로 사망했습니다.
Warhol은 수많은 회고 전시회, 서적 및 기능 및 다큐멘터리 영화의 주제였습니다.광범위한 영구 예술 및 아카이브 컬렉션을 보유하고있는 그의 원주민 도시 피츠버그에있는 앤디 워홀 박물관 (Andy Warhol Museum)은 단일 예술가 전용 미국에서 가장 큰 박물관입니다.워홀은 ""미술 시장의 벨웨더""로 묘사되었습니다.그의 많은 창조물은 매우 수집 가능하고 매우 가치가 있습니다.그의 작품에는 지금까지 판매 된 가장 비싼 그림 중 일부가 포함됩니다.2013 년, 1963 년 Silver Car Crash (Double Disaster)라는 제목의 세그바인은 1 억 5 천만 달러에 판매되었습니다.2022 년, Shot Sage Blue Marilyn (1964)은 1 억 9,500 만 달러에 팔렸는데, 이는 미국 예술가의 작품에 대해 경매에서 지불 한 가장 높은 가격입니다.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Andy_Warhol_at_the_Jewish_Museum_%28by_Bernard_Gotfryd%29_%E2%80%93_LOC.jpg/220px-Andy_Warhol_at_the_Jewish_Museum_%28by_Bernard_Gotfryd%29_%E2%80%93_LOC.jpg
arshile gorky,아쉴 고르키,"Arshile Gorky (Ar-Sheel Gor-Kee; Born Vostanik Manoug Adoian, Armenian : ո տանիկ մանուկ ատոյեան; 1904 년 4 월 15 일-1948 년 7 월 21 일)는 추상 표현주의에 중요한 영향을 미쳤던 아르메니아 계 미국인 화가였습니다.그는 지난 몇 년 동안 미국 국민으로 보냈습니다.Mark Rothko, Jackson Pollock 및 Willem de Kooning과 함께 Gorky는 20 세기의 가장 강력한 미국 화가 중 한 명으로 환영 받았습니다.그가 아르메니아 대량 학살에서 경험 한 고통과 상실은 예술가로서 Gorky의 발전에 중요한 영향을 미쳤습니다.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Archives_of_American_Art_-_Arshile_Gorky_-_3044.jpg/220px-Archives_of_American_Art_-_Arshile_Gorky_-_3044.jpg
arthur pinajian,아서 피나지안,"Arthur A. (Art) Pinajian은 아르메니아 아메리카 예술가이자 만화 제작자였습니다.그는 1950 년대 후반, 만화의 황금 시대, 1950 년대부터 1999 년의 죽음까지 예술가로서 1930 년대 후반의 만화 제작자로 활동했습니다.1939-42 년의 39 및 Funnies, Inc.Pinajian은 양질의 만화 캐릭터 Madame Fatal과 Hooded Justice와 Invisible Justic으로 알려진 보이지 않는 후드를 만들었습니다.",
atsuko tanaka,다나카 아츠코,"다나카 아츠코(일본어: 田中敦子, 1932년 2월 10일 ~ 2005년 12월 3일)는 한국의 전위예술가이다. 그녀는 1955년부터 1965년까지 구타이 미술 협회(Gutai Art Association)의 중심 인물이었습니다. 2000년대 초 일본 아시야에서 첫 미술관 회고전을 가졌고, 이어 뉴욕과 밴쿠버에서 첫 해외 회고전을 열면서 전 세계적으로 주목을 받았다.[1][2] 그녀의 작품은 유럽과 북미의 여러 구타이 예술 작품에 등장했습니다.[1]","https://en.wikipedia.org/wiki/Atsuko_Tanaka_(artist)#/media/File:Atsuko_Tanaka,_Electric_Dress.jpg"
audrey flack,오드리 플랙,"오드리 레노라 플랙 (1931 년 5 월 30 일 - 2024 년 6 월 28 일)은 미국 시각 예술가였습니다.그녀의 작품은 사진의 예술 장르를 개척했으며 그림, 인쇄물, 조각 및 사진을 포함합니다.
Flack은 뉴욕시의 Cooper Union의 졸업생과 명예 박사 학위를 포함하여 수많은 학업 학위를 받았습니다.또한 그녀는 Yale University에서 미술 학사 학위를 받았으며 뉴욕 대학교 미술 연구소에 다녔으며 미술사를 공부했습니다.2015 년 5 월, Flack은 Clark University에서 Fine Arts 박사 학위를 받았으며, 그곳에서 시작 연설을했습니다.
Flack의 작품은 현대 미술관, 메트로폴리탄 미술관, Smithsonian American Art Museum, Whitney American Museum of American Art 및 Solomon R. Guggenheim Museum을 포함한 여러 주요 박물관에 전시됩니다.Flack의 Photorealistic 그림은 Modern Museum of Modern Art의 영구 컬렉션을 위해 구입 한 최초의 그림이었으며, 오늘날 많은 미국 및 국제 예술가들에게 영향을 미치기 위해 Photorealist로서의 유산이 살고 있습니다.J. B. Speed ​​Art Museum 켄터키 주 루이빌에있는 J. B. Speed ​​Art Museum은 그녀의 작품에 대한 회고를 조직했으며, Photorealism의 세계에 대한 Flack의 선구적인 노력은 오늘날 남아있는 정도까지 장르를 대중화했습니다.Flack은 National Association of Women Artists의 명예 부사장이었습니다.
뛰어난 밴조 선수 인 Flack은 Audrey Flack의 리드 보컬과 2012 년 앨범을 발표 한 Art Band의 역사였습니다.지금까지, 교과서 Janson의 예술사는 여성 예술가를 언급하지 않았습니다.Flack은 1986 년 Art의 3 판 역사에서 Janson이 사망 한 후 추가 된 세 명의 살아있는 여성 중 한 명입니다.",https://upload.wikimedia.org/wikipedia/en/thumb/b/b6/Self_portrait_Audrey_Flack.jpg/220px-Self_portrait_Audrey_Flack.jpg
barnett newman,바넷 뉴먼,Barnett Newman (1905 년 1 월 29 일 - 1970 년 7 월 4 일)은 미국 예술가였습니다.그는 추상 표현주의의 주요 인물 중 하나이며 가장 컬러 필드 화가 중 하나로 비판적으로 여겨져왔다.그의 그림은 시청자들이 예술에 대한 경험을 탐구 하고이 느낌을 강조하기 위해 가장 간단한 형태를 통합합니다.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Newman_Barnett.jpg/220px-Newman_Barnett.jpg
basil beattie,바질 비티,"바질 비트 티 라 (Basil Beattie Ra) (1935 년생)는 영국 예술가로, 작품은 추상화를 중심으로 진행되며 감동적이고 제스처 형태로 유명합니다.
더럼 카운티 웨스트 하틀 풀에서 태어난 Beattie는 1950 년부터 1955 년까지 West Hartlepool 예술 대학에 다녔습니다. 그는 1957 년부터 1961 년까지 Royal Academy Schools에서 교육을 계속했습니다. 그는 오랜 교수 경력을 시작했습니다. 1980 년대와 1990 년대에 Beattie.런던의 Goldsmiths College에서 가르쳤습니다.그는 1998 년에 첼시 예술 학교에서 평가자로 더 많은 해를 보냈다.
Beattie의 셀 형식으로 배열 된 표지판과 캐릭터가있는 상형 문자를 비정상적으로 사용하는 것은 1986 년 Legend라는 제작과 함께 표시되었습니다.10 피트 x 12 피트의 독창성과 다층 외관은 1990 년 커웬 갤러리에서 열린 중요한 이벤트를 포함하여 1 인 솔로 전시회를 많이 보낸 화가의 특징이었습니다.1998 년과 2001 년의 Jerwood Painting Pripe는 2000 년 Charles Woolaston 상 외에도 1990 년대부터 제작 된 그림 전시회가 2007 년 테이트 영국에서 열렸으며 그의 작품은 테이트 영구 컬렉션의 일부입니다.
Beattie는 1970 년대에 성공적인 소설가 인 Mavis Cheek과 함께 살았으며 그녀의 딸이 있습니다.",
basuki abdullah,바스키 압둘라,Fransiskus Xaverius Basuki Abdullah (1915 년 1 월 25 일 - 1993 년 11 월 5 일 출생)는 인도네시아 화가이자 이슬람에서 로마 가톨릭교로 개종했습니다.그의 작품은 현실주의로 특징 지어지고 인도네시아 국립 갤러리에서 전시되었습니다.그는 헤이그에서 공식적인 훈련을 받았다.네덜란드 동인도의 일본 점령 중에 그는 미술 교사였습니다.전쟁이 끝난 후 그는 국제적으로 알려지면서 줄리아나 여왕의 네덜란드에서 가입 한 행사에서 미술 대회에서 우승했습니다.인도네시아에서 그의 지위는 수하르토 대통령의 공식 초상화를 페인트 할 수있는 기회를 제공했습니다.압둘라는 자카르타 집에서 침입하는 동안 3 명의 가해자에 의해 사망했다.,
betty parsons,베티 파슨스,"Betty Parsons (1900 년 1 월 31 일 - 1982 년 7 월 23 일 Betty Bierne Pierson 출생)는 추상 표현주의의 초기 홍보로 유명한 미국 예술가, 미술 상인 및 수집가였습니다.그녀는 American Avant-Garde의 가장 영향력 있고 역동적 인 인물 중 하나로 여겨집니다.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Betty_Parsons_%C2%A9Lynn_Gilbert_1977.jpg/220px-Betty_Parsons_%C2%A9Lynn_Gilbert_1977.jpg
blinky palermo,블링키 팔레르모,Blinky Palermo (1943 년 6 월 2 일 -1977 년 2 월 18 일)는 독일의 추상 화가였습니다.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Blinki_Palermo.jpg/250px-Blinki_Palermo.jpg
bradley walker tomlin,브래들리 워커 톰린,"브래들리 워커 톰린 (Bradley Walker Tomlin) (1899 년 8 월 19 일 - 1953 년 5 월 11 일)은 뉴욕 학교 초록 표현주의 예술가 세대에 속했다.그는 유명한``Ninth Street Show ''에 참여했습니다. Whitney American Museum of American Museum의 큐레이터 인 John I. H. Baur에 따르면, Tomlin의 삶과 그의 작품은 진정으로 고전적인 의미에서 완벽하고 불안한 노력으로 표시되었습니다.단어의 말에 따르면, 완전한 조화, 변경 불가능한 권리, 기적적인 완성감을 만들어내는 형태의“내적 논리”를 향해 ... 그의 인생의 지난 5 년 동안 목표가 완전히 도달했으며, 그리고, 그리고 목표가 완전히 도달했으며,그의 예술은 확실한 힘과 권위로 꽃을 피웠다. """,
brett whiteley,브렛 휘틀리,"Brett Whiteley AO (1939 년 4 월 7 일 - 1992 년 6 월 15 일)는 호주 예술가였습니다.그는 모든 대형 호주 갤러리의 컬렉션으로 대표되었으며 Archibald, Wynne 및 Sulman상에서 두 번 우승했습니다.그는 많은 전시회를 개최했으며 이탈리아, 영국, 피지 및 미국뿐만 아니라 호주에서도 살고 그렸습니다.",
brice marden,브라이스 마든,"Nicholas Brice Marden Jr. (1938 년 10 월 15 일 - 2023 년 8 월 9 일)는 일반적으로 미니멀리스트로 묘사되었지만 그의 작품은 추상 표현주의, 컬러 필드 페인팅에 뿌리를두고 있습니다.서정적 인 추상화.그는 뉴욕시에서 살고 일했습니다.티볼리, 뉴욕;Hydra, 그리스;그리고 Eagles Mere, 펜실베이니아.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Brice_Marden_1975.jpg/220px-Brice_Marden_1975.jpg
bui xuan phai,부이쑤언파이,Bùi Xuân Phái (1920 년 9 월 1 일 - 1988 년 6 월 24 일)는 베트남 화가였습니다.그는 하노이 오래된 분기의 그림으로 유명합니다.그는 또한 베트남 오페라의 배우와 음악가들을 그렸습니다.,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/Bui_Xuan_Phai_image.jpg/220px-Bui_Xuan_Phai_image.jpg
burhan dogancay,부르한 도간케이,"Burhan C. Doğançay (1929 년 9 월 11 일-2013 년 1 월 16 일)는 터키 계 미국인 예술가였습니다.Doğançay는 반세기 동안 전 세계 여러 도시에서 벽을 추적하는 것으로 가장 잘 알려져 있으며, 그의 예술 작품에 통합되었습니다.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Burhan_Dogancay.jpg/220px-Burhan_Dogancay.jpg
clyfford still,클리포드 스틸,"Clyfford Still (1904 년 11 월 30 일 - 1980 년 6 월 23 일)은 미국 화가였으며, 제 2 차 세계 대전 직후 몇 년 동안 새롭고 강력한 접근 방식을 개발 한 1 세대 추상 표현 주의자의 주요 인물 중 하나입니다.1938 년에서 1942 년 사이에 잭슨 폴락 (Jackson Pollock)과 마크 로스 코 (Mark Rothko)와 같은 동료보다 1940 년대에 페어리스트 스타일을 계속 페인트하는 것보다 1938 년에서 1942 년 사이에 표현에서 추상화로의 전환이 일어 났기 때문에 여전히 운동에 대한 토대를 마련한 것으로 여겨졌다..",https://upload.wikimedia.org/wikipedia/en/thumb/7/78/Clyfford_Still.jpg/220px-Clyfford_Still.jpg
conrad marca relli,콘래드 마르카 렐리,"Conrad Marca-Relli(Corado Marcarelli 출생; 1913년 6월 5일 ? 2000년 8월 29일)는 미국 예술가로, 1950년대까지 예술적 혁신이 대서양 전역에서 인정받은 뉴욕 학교 추상 표현주의 예술가의 초기 세대에 속했습니다. 파리.[1] Jackson Pollock, Willem de Kooning, Franz Kline, Robert Motherwell, John Ferren, Marca-Relli 등으로 대표되는 뉴욕 학교 추상 표현주의는 전후 시대의 주요 예술 운동이되었습니다.",https://en.wikipedia.org/wiki/Conrad_Marca-Relli#/media/File:Marca-Relli.jpg
craig kauffman,크레이그 카우프만,"Craig Kauffman (1932 년 3 월 31 일 - 2010 년 5 월 9 일)예술, 테이트 현대, 루이지애나 현대 미술관, 시카고 미술 연구소, 로스 앤젤레스 카운티 미술관, 시애틀 미술관, 로스 앤젤레스 현대 미술관.",
cy twombly,싸이 톰블리,"Edwin Parker ""Cy""Twombly Jr. (; 1928 년 4 월 25 일 - 2011 년 7 월 5 일)는 미국 화가, 조각가 및 사진 작가였습니다.
Twombly는 Anselm Kiefer, Francesco Clemente, Julian Schnabel 및 Jean-Michel Basquiat와 같은 예술가들에게 영향을 미쳤습니다.그의 가장 잘 알려진 작품은 일반적으로 대규모, 자유롭게 설명, 서예 및 낙서와 같은 대부분의 회색, 황갈색 또는 흰색 색상의 견고한 필드에서 작품입니다.그의 후기 그림과 작품은 종이에 대한 작품과 ""낭만적 인 상징주의""로 바뀌 었으며, 그들의 제목은 모양과 형태와 단어를 통해 시각적으로 해석 될 수 있습니다.Twombly는 종종 Stéphane Mallarmé, Rainer Maria Rilke 및 John Keats와 같은 시인들과 그의 작품에서 고전적인 신화와 주장을 인용했습니다.이것의 예로는 그의 아폴로와 아티스트와 ""버질""이라는 단어의 비문으로만 구성된 일련의 8 개의 그림이 있습니다.
Twombly의 작품은 휴스턴의 Menil Collection, London의 Tate Modern, New York 's Modern Art 박물관 및 Munich's Museum Brandhorst를 포함하여 전 세계 현대 미술관의 영구 컬렉션에 있습니다.그는 파리의 Musée du Louvre에서 천장을 의뢰했습니다.
1994 년 회고전에서 큐레이터 인 커크 바르 네 고 (Kirk Varnedoe)는 Twombly의 작품을 ""예술가들 사이의 영향력, 많은 비평가들에게 불안하고 광범위한 대중뿐만 아니라 전후 예술의 정교한 이니셔티브""라고 묘사했다.Artforum에 글을 쓰고 Travis Jeppesen은 더 나아가 Twombly가 ""20 세기의 가장 위대한 미국 화가, 피카소 이후의 가장 위대한 화가""라고 선언했습니다.",https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Cy_Twombly.jpg/300px-Cy_Twombly.jpg
dan christensen,댄 크리스텐슨,"Dan Christensen, (1942 년 10 월 6 일 - 2007 년 1 월 20 일) 미국의 초록 화가였습니다.
그는 서정적 추상화, 컬러 필드 페인팅 및 추상 표현주의와 관련된 그림으로 가장 잘 알려져 있습니다.
Christensen은 네브라스카 주 코자드에서 태어나 뉴욕 이스트 햄프 턴에서 사망했습니다.1965-1966 년의 초기 작업은 미니멀리즘과 관련이있었습니다.1964 년 캔자스 시티 아트 인스티튜트 (Kansas City Art Institute)를 졸업 한 1964 년 클래스 로니 랜드 필드 (Ronnie Landfield)와 셜론 프랜시스 (Sherron Francis)와 함께 공부 한 댄 크리스텐슨 (Dan Christensen)Andre Emmerich Gallery, Salander/O'Reilly Gallery 및 미국과 유럽 전역의 다양한 기타.그는 75 개 이상의 솔로 전시회를 보유하고 있으며 그의 작품은 수백 개의 그룹 전시회에 포함되었습니다.그의 그림은 미국과 유럽 전역의 중요한 박물관 컬렉션에 있습니다.",
dan flavin,댄 플라빈,Dan Flavin (1933 년 4 월 1 일 - 1996 년 11 월 29 일)은 상업적으로 이용 가능한 형광등 비품에서 조각품과 설치를 만드는 것으로 유명한 미국 미니멀리스트 아티스트였습니다.,
david smith,데이비드 스미스,,
douglas huebler,더글러스 휴블러,Douglas Huebler (1924 년 10 월 27 일 - 1997 년 7 월 12 일)는 미국 개념 예술가였습니다.,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Douglas_Huebler.jpg/220px-Douglas_Huebler.jpg
edward corbett,에드워드 코베트,"에드워드 코베트(Edward Corbett, 1919년 8월 22일 ~ 1971년 6월 6일)는 미국의 추상 표현주의 예술가였습니다.",
elaine de kooning,일레인 드 쿠닝,"Elaine Marie Catherine de Kooning (네덜란드 : [də ˈkoːnɪŋ], née fried; 1918 년 3 월 12 일-1989 년 2 월 1 일)는 제 2 차 세계 대전 시대에서 추상적 인 표현주의적이고 비유적인 표현주의 화가였습니다.그녀는 시대의 예술에 대해 광범위하게 글을 썼으며 Art News Magazine의 편집장이었습니다.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Elaine_de_Kooning%2C_RIT_NandE_1974_Dec16_Complete.jpg/220px-Elaine_de_Kooning%2C_RIT_NandE_1974_Dec16_Complete.jpg
endre balint,엔드레 발린트,Endre Bálint (1914 - 1986 년 부다페스트)는 헝가리 화가이자 그래픽 아티스트였습니다.,
esteban vicente,에스테반 비센테,Esteban Vicente Pérez (1903 년 1 월 20 일 - 2001 년 1 월 10 일)는 스페인 Turégano에서 태어난 스페인 미국 화가였습니다.그는 뉴욕 학교 추상 표현 주의자의 1 세대 중 하나였습니다.그는 반 파시스트로 확인했다.,https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/Esteban_Vicente_-_Red_Field_-_1972.jpg/220px-Esteban_Vicente_-_Red_Field_-_1972.jpg
eva hesse,에바 헤세,"Eva Hesse (1936 년 1 월 11 일-1970 년 5 월 29 일)는 라텍스, 유리 섬유 및 플라스틱과 같은 재료에서 선구적인 작품으로 유명한 독일 출신의 미국 조각가였습니다.그녀는 1960 년대에 미 예술 운동을 시작한 예술가 중 한 명입니다.",https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/Eva_Hesse_in_her_studio_in_1965._%27No_Title%27_%281966%29.jpg/220px-Eva_Hesse_in_her_studio_in_1965._%27No_Title%27_%281966%29.jpg
forrest bess,포레스트 베스,"Forrest Clemenger Bess (1911 년 10 월 5 일 - 1977 년 11 월 10 일)는 미국 화가이자 어부였습니다.그는 미술 상인 베티 파슨스 (Betty Parsons)에 의해 발견되고 홍보되었습니다.그는 자신이 ""비전""이라고 부르는 것을 바탕으로 추상적 인 상징이 가득한 그림으로 유명합니다.",
